iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
1,80735062.00,42452581.00,2403740.00,646
2,420708.00,815834.00,888569.00,646
3,375205.00,878413.00,1265459.00,646
4,522727.00,985474.00,1154057.00,646
5,299143.00,810292.00,1487761.00,646
6,322395.00,1518591.00,1342530.00,646
7,509476.00,945264.00,857956.00,646
8,190611.00,482965.00,740627.00,646
9,204724.00,466602.00,1267402.00,646
10,180448.00,603682.00,774349.00,646
11,384599.00,887351.00,1096399.00,646
12,146450.00,2145177.00,1244233.00,646
13,290352.00,361360.00,8174682.00,646
14,257115.00,466177.00,506420.00,646
15,232940.00,719936.00,516210.00,646
16,176054.00,655384.00,607297.00,646
17,129260.00,352891.00,632542.00,646
18,176183.00,491379.00,1962719.00,646
19,150735.00,445411.00,1691497.00,646
20,221167.00,376491.00,400985.00,646
21,96614.00,293924.00,426243.00,646
22,101563.00,221587.00,397861.00,646
23,96258.00,343011.00,377530.00,646
24,99621.00,254842.00,320236.00,646
25,124036.00,334969.00,371631.00,646
26,97819.00,1067457.00,713120.00,646
27,258236.00,332472.00,562912.00,646
28,159455.00,274358.00,450194.00,646
29,134040.00,247795.00,403692.00,646
30,122833.00,493750.00,373577.00,646
31,96864.00,257720.00,340282.00,646
32,124756.00,364156.00,883188.00,646
33,126903.00,215138.00,338125.00,646
34,95514.00,161166.00,308694.00,646
35,88309.00,174608.00,352878.00,646
36,100778.00,288149.00,293708.00,646
37,160486.00,224618.00,592461.00,646
38,419906.00,462448.00,431111.00,646
39,156752.00,278038.00,298705.00,646
40,209021.00,256308.00,330976.00,646
41,141825.00,272321.00,1675266.00,646
42,360245.00,282702.00,481377.00,646
43,141473.00,282154.00,543674.00,646
44,170964.00,295110.00,328779.00,646
45,148250.00,668633.00,401028.00,646
46,167623.00,227047.00,346452.00,646
47,175602.00,222762.00,388272.00,646
48,148822.00,179556.00,579208.00,646
49,128720.00,227489.00,267468.00,646
50,105544.00,209409.00,345832.00,646
51,116098.00,245061.00,311714.00,646
52,680664.00,374125.00,381031.00,646
53,100444.00,120457.00,261915.00,646
54,88023.00,120607.00,191642.00,646
55,78696.00,113172.00,169397.00,646
56,72998.00,105503.00,169978.00,646
57,71781.00,97126.00,184752.00,646
58,77146.00,100606.00,206350.00,646
59,77234.00,123845.00,184247.00,646
60,79181.00,109735.00,186720.00,646
61,123081.00,251198.00,725789.00,646
62,229926.00,201071.00,415728.00,646
63,147034.00,219576.00,349392.00,646
64,133826.00,231283.00,1026753.00,646
65,153394.00,180240.00,319005.00,646
66,126929.00,139213.00,291708.00,646
67,95405.00,120397.00,242216.00,646
68,99442.00,125327.00,219620.00,646
69,99809.00,118310.00,305634.00,646
70,83042.00,220214.00,281512.00,646
71,71526.00,168447.00,167759.00,646
72,123432.00,108004.00,215921.00,646
73,69064.00,99074.00,586741.00,646
74,125055.00,104247.00,156480.00,646
75,62557.00,111612.00,201054.00,646
76,66314.00,103305.00,155857.00,646
77,60627.00,90176.00,355042.00,646
78,91408.00,121449.00,207631.00,646
79,79062.00,158073.00,178229.00,646
80,89872.00,116599.00,167604.00,646
81,77370.00,121410.00,168827.00,646
82,69147.00,95885.00,204049.00,646
83,70877.00,133076.00,217160.00,646
84,64248.00,95714.00,156933.00,646
85,60963.00,119387.00,157644.00,646
86,60757.00,109824.00,148522.00,646
87,75515.00,92430.00,159864.00,646
88,57780.00,117459.00,178076.00,646
89,54830.00,88695.00,180478.00,646
90,55476.00,836498.00,1322452.00,646
91,187909.00,188769.00,164763.00,646
92,53952.00,100970.00,250148.00,646
93,160882.00,131006.00,199623.00,646
94,66048.00,117821.00,209925.00,646
95,105948.00,240942.00,258477.00,646
96,72747.00,164845.00,218770.00,646
97,42192.00,94895.00,153859.00,646
98,66120.00,104033.00,212243.00,646
99,92736.00,476509.00,514701.00,646
100,68975.00,210503.00,185915.00,646
101,48803.00,163380.00,241730.00,646
102,61234.00,173007.00,266258.00,646
103,129176.00,225151.00,199393.00,646
104,47781.00,100448.00,1101330.00,646
105,49802.00,99713.00,107925.00,646
106,32150.00,300050.00,188924.00,646
107,35786.00,83000.00,130588.00,646
108,51668.00,104658.00,209814.00,646
109,53940.00,136855.00,157082.00,646
110,46862.00,113747.00,141446.00,646
111,43315.00,329437.00,371535.00,646
112,198370.00,872052.00,268541.00,646
113,50928.00,105249.00,223733.00,646
114,57679.00,110599.00,152445.00,646
115,49482.00,121200.00,150199.00,646
116,54317.00,171122.00,191218.00,646
117,54805.00,98136.00,183653.00,646
118,49790.00,98422.00,162039.00,646
119,37763.00,67501.00,103418.00,646
120,32348.00,74125.00,95735.00,646
121,34078.00,85713.00,101688.00,646
122,47602.00,102388.00,204415.00,646
123,64263.00,191145.00,402015.00,646
124,91613.00,380310.00,286876.00,646
125,61614.00,167826.00,154048.00,646
126,50368.00,161170.00,139524.00,646
127,42787.00,85958.00,164728.00,646
128,53205.00,186537.00,446110.00,646
129,84440.00,127296.00,150861.00,646
130,52601.00,124113.00,140036.00,646
131,39129.00,75595.00,132757.00,646
132,37784.00,57559.00,106414.00,646
133,42348.00,85649.00,128587.00,646
134,84338.00,67812.00,87847.00,646
135,32786.00,63502.00,84839.00,646
136,32276.00,60938.00,131210.00,646
137,35927.00,47264.00,95697.00,646
138,34210.00,49937.00,106649.00,646
139,33210.00,66860.00,77096.00,646
140,29678.00,58856.00,92626.00,646
141,30153.00,58926.00,113092.00,646
142,45576.00,97828.00,245642.00,646
143,125769.00,113708.00,190630.00,646
144,56752.00,97826.00,130524.00,646
145,70017.00,103636.00,159378.00,646
146,42858.00,87053.00,85810.00,646
147,31018.00,47038.00,160344.00,646
148,38648.00,53136.00,155172.00,646
149,32670.00,112658.00,124628.00,646
150,56285.00,76241.00,84687.00,646
151,32544.00,65858.00,80870.00,646
152,42525.00,73787.00,148018.00,646
153,55661.00,132525.00,160871.00,646
154,56373.00,78309.00,215927.00,646
155,74180.00,121343.00,148769.00,646
156,49885.00,141313.00,277377.00,646
157,72917.00,81201.00,220698.00,646
158,58615.00,92825.00,125199.00,646
159,32562.00,43449.00,115002.00,646
160,36599.00,59644.00,93571.00,646
161,31866.00,52587.00,75343.00,646
162,30925.00,42278.00,85449.00,646
163,31364.00,44202.00,81444.00,646
164,28693.00,54161.00,156918.00,646
165,31326.00,81301.00,105101.00,646
166,30100.00,61146.00,74260.00,646
167,32862.00,42300.00,79487.00,646
168,30180.00,48081.00,77053.00,646
169,31770.00,39078.00,82570.00,646
170,35666.00,54679.00,69783.00,646
171,29128.00,46852.00,68015.00,646
172,29504.00,37686.00,76251.00,646
173,30151.00,38786.00,103348.00,646
174,30813.00,61271.00,73450.00,646
175,65841.00,56981.00,82490.00,646
176,37429.00,86822.00,143861.00,646
177,46192.00,60619.00,140702.00,646
178,44493.00,76333.00,122940.00,646
179,43597.00,54988.00,216301.00,646
180,52518.00,100188.00,106958.00,646
181,41975.00,64477.00,111227.00,646
182,45323.00,59890.00,124029.00,646
183,46026.00,66922.00,214170.00,646
184,82982.00,72594.00,142283.00,646
