iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
1,403447.00,500211.00,55407.00,649
2,11199.00,20462.00,35773.00,649
3,9977.00,18551.00,31873.00,649
4,9781.00,19014.00,28571.00,649
5,9274.00,22559.00,28723.00,649
6,9410.00,21494.00,28833.00,649
7,9343.00,18363.00,32105.00,649
8,9652.00,18477.00,31777.00,649
9,9849.00,18874.00,28479.00,649
10,9641.00,21961.00,27977.00,649
11,9421.00,22005.00,28222.00,649
12,10389.00,69531.00,39237.00,649
13,10080.00,17325.00,29585.00,649
14,21343.00,18619.00,27089.00,649
15,9084.00,20479.00,25766.00,649
16,8760.00,20536.00,26190.00,649
17,16145.00,97612.00,40639.00,649
18,10424.00,18600.00,30221.00,649
19,9182.00,17332.00,26451.00,649
20,8750.00,22622.00,26216.00,649
21,8569.00,20131.00,26987.00,649
22,8952.00,16958.00,28666.00,649
23,8735.00,17232.00,29242.00,649
24,8859.00,17369.00,26180.00,649
25,8609.00,20670.00,26130.00,649
26,8748.00,20266.00,25868.00,649
27,8860.00,17395.00,28376.00,649
28,8765.00,17660.00,28508.00,649
29,8725.00,16959.00,25768.00,649
30,8634.00,19959.00,25711.00,649
31,8630.00,20201.00,25682.00,649
32,8587.00,16826.00,28390.00,649
33,8720.00,16847.00,28688.00,649
34,8692.00,16834.00,25535.00,649
35,8566.00,19895.00,35563.00,649
36,9023.00,20495.00,25568.00,649
37,8676.00,16822.00,28432.00,649
38,8696.00,17225.00,28302.00,649
39,8765.00,17337.00,26048.00,649
40,9072.00,178204.00,73501.00,649
41,17159.00,38906.00,52479.00,649
42,17189.00,29986.00,49373.00,649
43,15102.00,29488.00,49722.00,649
44,15838.00,29879.00,44433.00,649
45,16035.00,35592.00,45385.00,649
46,15174.00,136646.00,68429.00,649
47,18900.00,229569.00,103808.00,649
48,20446.00,35280.00,63183.00,649
49,16178.00,31896.00,47496.00,649
50,16732.00,39258.00,48782.00,649
51,17807.00,39314.00,54535.00,649
52,17186.00,35745.00,50858.00,649
53,14202.00,100310.00,71023.00,649
54,18152.00,35448.00,48962.00,649
55,16226.00,38564.00,67722.00,649
56,15592.00,37086.00,55849.00,649
57,16509.00,33907.00,55642.00,649
58,17856.00,32841.00,97305.00,649
59,20823.00,33483.00,46278.00,649
60,16107.00,37691.00,59269.00,649
61,16029.00,37380.00,49796.00,649
62,16652.00,32601.00,56855.00,649
63,17437.00,33985.00,55587.00,649
