iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
167,8281.00,30965.00,30020.00,646
168,8635.00,15479.00,27263.00,646
169,8495.00,14400.00,53904.00,646
170,10136.00,20095.00,23616.00,646
171,8488.00,19551.00,23303.00,646
172,7745.00,13409.00,25760.00,646
173,8287.00,15299.00,27167.00,646
174,9139.00,15534.00,23005.00,646
175,8481.00,21879.00,24099.00,646
176,8284.00,18816.00,24541.00,646
177,8707.00,15413.00,28315.00,646
178,9053.00,15290.00,25344.00,646
179,7872.00,14868.00,21503.00,646
180,7489.00,16222.00,20418.00,646
181,7231.00,16898.00,22513.00,646
182,7480.00,13728.00,24845.00,646
183,8014.00,14173.00,23483.00,646
184,7536.00,13646.00,20539.00,646
185,7376.00,16792.00,21740.00,646
186,7534.00,17453.00,21036.00,646
187,7591.00,14129.00,24260.00,646
188,7534.00,13923.00,22973.00,646
189,7807.00,14175.00,21606.00,646
190,7593.00,17521.00,21843.00,646
191,7572.00,17247.00,20617.00,646
192,7314.00,13820.00,56298.00,646
193,9888.00,14851.00,25554.00,646
194,7528.00,14250.00,21373.00,646
195,7432.00,26009.00,17644.00,646
196,6194.00,12713.00,16931.00,646
197,5796.00,10362.00,20288.00,646
198,6498.00,12835.00,21811.00,646
199,6894.00,34298.00,19047.00,646
200,6749.00,20833.00,18994.00,646
201,27532.00,29826.00,27197.00,646
202,6505.00,16158.00,21594.00,646
203,18588.00,12212.00,31224.00,646
204,11626.00,11508.00,16652.00,646
205,6221.00,14330.00,18150.00,646
206,6002.00,14022.00,19925.00,646
207,6327.00,11299.00,20944.00,646
208,7029.00,12417.00,21780.00,646
209,7699.00,11195.00,18356.00,646
210,6179.00,14373.00,18656.00,646
211,6425.00,15527.00,19276.00,646
212,6605.00,11663.00,20745.00,646
213,6929.00,11715.00,21161.00,646
214,6502.00,12687.00,17841.00,646
215,6370.00,26724.00,18374.00,646
216,8034.00,14529.00,22149.00,646
217,8129.00,26134.00,29757.00,646
218,6612.00,9756.00,12624.00,646
219,3879.00,6305.00,9506.00,646
220,3197.00,7717.00,9706.00,646
221,3558.00,7740.00,9797.00,646
222,3293.00,6159.00,124669.00,646
223,12048.00,10739.00,20551.00,646
224,6655.00,12256.00,30724.00,646
225,5810.00,13281.00,17681.00,646
226,5707.00,14704.00,24468.00,646
227,9499.00,13347.00,21315.00,646
228,6636.00,18756.00,28184.00,646
229,10137.00,14487.00,15660.00,646
230,5873.00,13751.00,18500.00,646
231,6726.00,85187.00,29056.00,646
232,7813.00,11594.00,17981.00,646
233,5314.00,9410.00,16805.00,646
234,5353.00,9672.00,14319.00,646
235,4777.00,10331.00,13725.00,646
236,4930.00,11640.00,14291.00,646
237,4659.00,14280.00,17668.00,646
238,7968.00,8803.00,16583.00,646
239,4852.00,9505.00,14085.00,646
240,4852.00,11775.00,15026.00,646
241,5277.00,120144.00,219894.00,646
242,41036.00,22056.00,21719.00,646
243,5297.00,8650.00,14558.00,646
244,3962.00,7572.00,11469.00,646
245,3990.00,8811.00,11689.00,646
246,5645.00,23362.00,13313.00,646
247,4740.00,8182.00,15600.00,646
248,4920.00,8738.00,15422.00,646
249,4372.00,8017.00,12770.00,646
250,4598.00,21340.00,24203.00,646
251,4596.00,11714.00,14265.00,646
252,4994.00,9113.00,16034.00,646
253,7464.00,20872.00,18649.00,646
254,30734.00,11146.00,14970.00,646
255,5175.00,12218.00,15856.00,646
256,5260.00,10935.00,14712.00,646
257,5419.00,9372.00,15624.00,646
258,4898.00,8175.00,14900.00,646
259,4862.00,8312.00,11752.00,646
260,4851.00,10555.00,13478.00,646
261,5962.00,12971.00,15691.00,646
262,4862.00,9215.00,16937.00,646
263,4727.00,17214.00,26084.00,646
264,5309.00,9392.00,14456.00,646
265,5506.00,10921.00,12925.00,646
266,5057.00,11180.00,15320.00,646
267,5141.00,9398.00,15643.00,646
268,4066.00,8048.00,15416.00,646
269,4895.00,7115.00,12479.00,646
270,3964.00,11372.00,14582.00,646
271,4654.00,9860.00,13307.00,646
272,5072.00,8941.00,15515.00,646
273,4253.00,8170.00,14643.00,646
274,4772.00,8499.00,12570.00,646
275,4178.00,10914.00,13481.00,646
276,4692.00,9965.00,12467.00,646
277,5211.00,8859.00,16226.00,646
278,4482.00,8436.00,15087.00,646
279,4931.00,9128.00,15080.00,646
280,6305.00,17901.00,13451.00,646
281,5185.00,13204.00,15547.00,646
282,5114.00,9391.00,16697.00,646
283,5031.00,9042.00,16013.00,646
284,5077.00,8818.00,14636.00,646
285,7088.00,17914.00,14254.00,646
286,5349.00,10477.00,14087.00,646
287,4852.00,9064.00,15789.00,646
288,4600.00,8851.00,15154.00,646
289,4688.00,8341.00,12805.00,646
290,4411.00,10816.00,14429.00,646
291,4805.00,32177.00,20759.00,646
292,5272.00,11654.00,82949.00,646
293,5790.00,8871.00,15441.00,646
294,4561.00,7931.00,12678.00,646
295,4549.00,10853.00,13820.00,646
296,4622.00,9807.00,13193.00,646
297,4647.00,8668.00,15066.00,646
298,4590.00,8990.00,15313.00,646
299,4475.00,8364.00,12621.00,646
300,4464.00,9980.00,14439.00,646
301,4806.00,10228.00,13052.00,646
302,4541.00,8529.00,14542.00,646
303,5209.00,8751.00,15939.00,646
304,4745.00,8855.00,13176.00,646
305,4939.00,9993.00,13311.00,646
306,4742.00,9587.00,14950.00,646
307,4601.00,8227.00,15520.00,646
308,28189.00,14944.00,16032.00,646
309,5278.00,8641.00,13023.00,646
310,4523.00,10785.00,13512.00,646
311,4428.00,10584.00,18543.00,646
312,4827.00,10539.00,18106.00,646
313,5139.00,8747.00,15237.00,646
314,4844.00,8164.00,11971.00,646
315,4510.00,10732.00,13102.00,646
316,4561.00,10162.00,13440.00,646
317,4233.00,8400.00,12875.00,646
318,4636.00,8298.00,12517.00,646
319,4499.00,8702.00,12695.00,646
320,4415.00,9842.00,14351.00,646
321,4084.00,9044.00,11417.00,646
322,4318.00,8193.00,14847.00,646
323,4421.00,8292.00,14062.00,646
324,4300.00,8136.00,12141.00,646
325,4258.00,9537.00,12521.00,646
326,4014.00,11792.00,13657.00,646
327,4530.00,7813.00,16718.00,646
328,4688.00,9373.00,15070.00,646
329,4647.00,8866.00,13049.00,646
330,4283.00,10486.00,13327.00,646
331,4662.00,10496.00,13333.00,646
332,4632.00,8863.00,15267.00,646
333,4968.00,8269.00,22331.00,646
334,4474.00,9027.00,13506.00,646
335,4455.00,9619.00,12619.00,646
336,4393.00,10793.00,14046.00,646
337,4560.00,8664.00,14904.00,646
338,4587.00,7960.00,14202.00,646
339,4805.00,8908.00,13358.00,646
340,4653.00,11868.00,12495.00,646
341,4253.00,9661.00,12836.00,646
342,4480.00,8984.00,13982.00,646
343,4261.00,7706.00,14681.00,646
344,6572.00,9718.00,12768.00,646
345,4288.00,9982.00,12346.00,646
346,4712.00,8532.00,11361.00,646
347,4221.00,7998.00,12835.00,646
348,4121.00,7709.00,12463.00,646
349,10338.00,7846.00,11551.00,646
350,3941.00,8492.00,11756.00,646
351,3925.00,8661.00,12161.00,646
352,3983.00,7124.00,12857.00,646
353,4180.00,7269.00,12712.00,646
354,4059.00,7159.00,11171.00,646
355,4092.00,8638.00,11612.00,646
356,4116.00,8540.00,11344.00,646
357,4403.00,7320.00,13358.00,646
358,19812.00,11102.00,28722.00,646
359,5825.00,8290.00,63151.00,646
360,13631.00,14390.00,13370.00,646
361,4598.00,10169.00,13262.00,646
362,4159.00,23362.00,14318.00,646
363,4267.00,8583.00,16086.00,646
364,4790.00,8923.00,13536.00,646
365,4154.00,8937.00,118500.00,646
366,36380.00,18804.00,39294.00,646
367,5052.00,9637.00,16436.00,646
368,4897.00,11873.00,16546.00,646
369,4748.00,8579.00,13357.00,646
370,4648.00,10823.00,13409.00,646
371,4200.00,10477.00,14194.00,646
372,4742.00,8922.00,15940.00,646
373,4613.00,9030.00,13941.00,646
374,4171.00,8108.00,13375.00,646
375,4269.00,10043.00,12877.00,646
376,4446.00,10639.00,13687.00,646
377,4573.00,7798.00,14652.00,646
378,4253.00,8532.00,14385.00,646
379,4265.00,7881.00,12492.00,646
380,4011.00,10329.00,12492.00,646
381,4359.00,10482.00,12680.00,646
382,4173.00,8124.00,14179.00,646
383,4277.00,8349.00,14778.00,646
384,4101.00,7099.00,12038.00,646
385,4391.00,10460.00,11270.00,646
386,4199.00,10395.00,12496.00,646
387,4143.00,8033.00,14761.00,646
388,4270.00,9175.00,14178.00,646
389,4516.00,8632.00,13381.00,646
390,4444.00,9932.00,12783.00,646
391,4194.00,10687.00,13871.00,646
392,4422.00,8532.00,15159.00,646
393,4308.00,9002.00,14631.00,646
394,4014.00,8054.00,11275.00,646
395,3827.00,8880.00,11469.00,646
396,4253.00,8990.00,12220.00,646
397,4402.00,8037.00,14487.00,646
398,4101.00,7779.00,14338.00,646
399,4270.00,8554.00,11854.00,646
400,4329.00,9706.00,11648.00,646
401,9952.00,20748.00,13685.00,646
402,4309.00,8643.00,15938.00,646
403,4699.00,8278.00,35607.00,646
404,7253.00,11983.00,15052.00,646
405,4670.00,12371.00,13619.00,646
406,4390.00,9286.00,11994.00,646
407,4429.00,8040.00,14702.00,646
408,4583.00,8544.00,51918.00,646
409,8245.00,11507.00,14436.00,646
410,4814.00,11903.00,14101.00,646
411,4508.00,79289.00,22540.00,646
412,5707.00,8553.00,15348.00,646
413,4137.00,7716.00,14432.00,646
414,4464.00,8810.00,13461.00,646
415,4218.00,12190.00,12798.00,646
416,4610.00,11173.00,21876.00,646
417,4884.00,7815.00,15676.00,646
418,4538.00,8503.00,17265.00,646
419,4413.00,9070.00,13038.00,646
420,4235.00,10294.00,17839.00,646
421,4712.00,11167.00,13457.00,646
422,4210.00,8757.00,15627.00,646
423,4694.00,8509.00,14752.00,646
424,4201.00,8220.00,13688.00,646
425,3936.00,10425.00,13310.00,646
426,4492.00,11161.00,13687.00,646
427,4124.00,8147.00,12415.00,646
428,4604.00,8543.00,15445.00,646
429,4589.00,8327.00,13100.00,646
430,4344.00,11192.00,12997.00,646
431,4461.00,10878.00,13511.00,646
432,4437.00,9409.00,38222.00,646
433,6128.00,8710.00,14300.00,646
434,4329.00,8868.00,13553.00,646
435,4576.00,9073.00,12679.00,646
436,4470.00,9301.00,13142.00,646
437,4825.00,8785.00,14126.00,646
438,4538.00,8875.00,14712.00,646
439,4843.00,9037.00,13876.00,646
440,4854.00,9628.00,14012.00,646
441,4744.00,10224.00,13268.00,646
442,4226.00,8916.00,14148.00,646
443,4817.00,8499.00,13733.00,646
444,4976.00,8549.00,12683.00,646
445,4119.00,9335.00,13453.00,646
446,4523.00,29727.00,14799.00,646
447,4364.00,8951.00,14701.00,646
448,4421.00,7887.00,14228.00,646
449,4965.00,8438.00,14179.00,646
450,4288.00,8997.00,13052.00,646
451,3878.00,8625.00,15867.00,646
452,4494.00,9135.00,13821.00,646
453,4453.00,8835.00,13935.00,646
454,4492.00,8606.00,13444.00,646
455,4368.00,9694.00,13616.00,646
456,4617.00,9618.00,13124.00,646
457,4560.00,8694.00,14269.00,646
458,4393.00,8492.00,13573.00,646
459,4505.00,18432.00,13540.00,646
460,4405.00,8214.00,11336.00,646
461,4101.00,8786.00,12996.00,646
462,4698.00,8702.00,13615.00,646
463,4527.00,8526.00,13497.00,646
464,4381.00,8882.00,13633.00,646
465,4418.00,9630.00,13717.00,646
466,4871.00,9697.00,13205.00,646
467,4761.00,8698.00,13617.00,646
468,4583.00,8243.00,12504.00,646
469,4178.00,7837.00,13614.00,646
470,4694.00,13540.00,13485.00,646
471,4664.00,9649.00,13164.00,646
472,4349.00,8407.00,13804.00,646
473,4496.00,8519.00,14149.00,646
474,4637.00,8671.00,13435.00,646
475,4386.00,9059.00,13347.00,646
476,4841.00,9538.00,13248.00,646
477,4556.00,8990.00,14137.00,646
478,26772.00,12831.00,21378.00,646
479,14589.00,9878.00,14868.00,646
480,4640.00,21779.00,14635.00,646
481,5504.00,10021.00,39782.00,646
482,4883.00,9251.00,14499.00,646
483,4738.00,8913.00,15048.00,646
484,4677.00,9802.00,13898.00,646
485,5180.00,10225.00,14692.00,646
486,4598.00,9347.00,17085.00,646
487,5105.00,9865.00,15229.00,646
488,4548.00,9849.00,15249.00,646
489,5108.00,9511.00,14207.00,646
490,4580.00,10166.00,14176.00,646
491,4809.00,10115.00,14241.00,646
492,4764.00,9364.00,14483.00,646
493,4485.00,9266.00,24377.00,646
494,4547.00,9333.00,14129.00,646
495,5066.00,10916.00,14286.00,646
496,5038.00,10489.00,14804.00,646
497,4862.00,9737.00,14923.00,646
498,5055.00,9257.00,15132.00,646
499,4842.00,9210.00,26451.00,646
500,5348.00,11669.00,13942.00,646
501,4612.00,9925.00,13958.00,646
502,5003.00,8731.00,14501.00,646
503,4648.00,9049.00,12687.00,646
504,4252.00,7422.00,12663.00,646
505,4414.00,8523.00,12518.00,646
506,4308.00,8506.00,12450.00,646
507,4164.00,7963.00,12842.00,646
508,4157.00,7701.00,12406.00,646
509,4171.00,8041.00,12250.00,646
510,4209.00,8499.00,12189.00,646
511,4235.00,9036.00,13247.00,646
512,4393.00,8714.00,13306.00,646
513,4462.00,8731.00,14873.00,646
514,4565.00,9209.00,13093.00,646
515,4967.00,9692.00,14362.00,646
