iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
167,51034.00,77016.00,122927.00,649
168,45426.00,69476.00,121029.00,649
169,46843.00,64468.00,110159.00,649
170,90575.00,152001.00,125352.00,649
171,48763.00,80902.00,152465.00,649
172,53869.00,64856.00,111551.00,649
173,69874.00,77253.00,105754.00,649
174,41798.00,52779.00,90828.00,649
175,98292.00,136254.00,147646.00,649
176,42925.00,67899.00,96875.00,649
177,74431.00,67990.00,116403.00,649
178,50019.00,86664.00,115242.00,649
179,39822.00,56002.00,94802.00,649
180,41026.00,59747.00,97448.00,649
181,45913.00,61505.00,100114.00,649
182,45210.00,53995.00,102526.00,649
183,38596.00,51951.00,100364.00,649
184,48308.00,51550.00,92891.00,649
185,48330.00,50309.00,68442.00,649
186,27904.00,39080.00,89386.00,649
187,34640.00,38549.00,77610.00,649
188,28856.00,44757.00,83958.00,649
189,27636.00,35876.00,64612.00,649
190,38795.00,43156.00,69265.00,649
191,28918.00,43209.00,69259.00,649
192,28599.00,37991.00,117702.00,649
193,36660.00,39586.00,71861.00,649
194,28357.00,37895.00,65553.00,649
195,27861.00,42058.00,70973.00,649
196,27795.00,42321.00,65823.00,649
197,28110.00,36697.00,69451.00,649
198,28337.00,37090.00,70656.00,649
199,28117.00,36755.00,67127.00,649
200,55884.00,54041.00,81253.00,649
201,87438.00,103263.00,387482.00,649
202,98059.00,72531.00,127308.00,649
203,48616.00,60817.00,189348.00,649
204,49070.00,47342.00,92626.00,649
205,36790.00,50099.00,107500.00,649
206,42576.00,185406.00,118522.00,649
207,50841.00,61175.00,108611.00,649
208,59151.00,59751.00,112301.00,649
209,48270.00,56448.00,72741.00,649
210,30363.00,48890.00,71338.00,649
211,45705.00,52795.00,71193.00,649
212,29324.00,43060.00,77994.00,649
213,26932.00,36171.00,66909.00,649
214,29600.00,39421.00,66136.00,649
215,26063.00,39824.00,63812.00,649
216,27161.00,43578.00,67153.00,649
217,70788.00,67995.00,84366.00,649
218,28091.00,37491.00,91132.00,649
219,34635.00,55734.00,134359.00,649
220,40061.00,50876.00,60749.00,649
221,25423.00,39955.00,61591.00,649
222,24992.00,35673.00,73381.00,649
223,27800.00,36534.00,65373.00,649
224,24919.00,35588.00,135470.00,649
225,38088.00,49150.00,66217.00,649
226,26978.00,42103.00,62728.00,649
227,25472.00,39068.00,69058.00,649
228,26390.00,36662.00,66703.00,649
229,25820.00,36136.00,62597.00,649
230,49559.00,73256.00,74802.00,649
231,26695.00,45355.00,341222.00,649
232,65199.00,114206.00,126652.00,649
233,38651.00,56831.00,103951.00,649
234,37645.00,52625.00,95215.00,649
235,34261.00,58966.00,84629.00,649
236,33581.00,57666.00,103827.00,649
237,40051.00,53863.00,97310.00,649
238,36711.00,50887.00,125811.00,649
239,44577.00,58810.00,86428.00,649
240,46173.00,93437.00,110228.00,649
241,36097.00,69060.00,89539.00,649
242,35361.00,51070.00,163365.00,649
243,58044.00,80283.00,177016.00,649
244,47300.00,58317.00,94877.00,649
245,37356.00,69932.00,117094.00,649
246,39708.00,70327.00,106302.00,649
247,70362.00,72176.00,136270.00,649
248,87401.00,67428.00,110663.00,649
249,34835.00,58630.00,93506.00,649
250,35614.00,71055.00,100446.00,649
251,37562.00,71780.00,63884.00,649
252,22135.00,37638.00,62594.00,649
253,22087.00,34907.00,58501.00,649
254,27531.00,34857.00,55511.00,649
255,20892.00,37800.00,55428.00,649
256,31454.00,50555.00,407868.00,649
257,34661.00,45427.00,89533.00,649
258,32505.00,36902.00,61370.00,649
259,52034.00,81964.00,67845.00,649
260,33424.00,66316.00,151091.00,649
261,50910.00,72186.00,92482.00,649
262,34593.00,49898.00,89438.00,649
263,59046.00,41874.00,63995.00,649
264,21349.00,33848.00,58116.00,649
265,20881.00,38362.00,54118.00,649
266,20179.00,37795.00,55834.00,649
267,20398.00,35356.00,87822.00,649
268,29110.00,37451.00,61699.00,649
269,22085.00,38035.00,69347.00,649
270,23781.00,39880.00,62392.00,649
271,47260.00,67670.00,59368.00,649
272,21783.00,37012.00,67477.00,649
273,22070.00,34743.00,58851.00,649
274,25314.00,36415.00,61385.00,649
275,21037.00,50320.00,62772.00,649
276,20431.00,35432.00,50851.00,649
277,18790.00,33347.00,59160.00,649
278,20366.00,31918.00,54330.00,649
279,20250.00,31942.00,62750.00,649
280,19153.00,35262.00,50694.00,649
281,19466.00,35966.00,51697.00,649
282,19172.00,40741.00,71280.00,649
283,19283.00,33118.00,91400.00,649
284,20501.00,35042.00,53740.00,649
285,19271.00,36671.00,54773.00,649
286,19302.00,36684.00,67816.00,649
287,32519.00,35961.00,58258.00,649
288,36852.00,44584.00,79395.00,649
289,34021.00,34465.00,52282.00,649
290,19963.00,38575.00,58636.00,649
291,20775.00,63656.00,67874.00,649
292,18908.00,32563.00,54490.00,649
293,18213.00,31785.00,52682.00,649
294,17904.00,31306.00,48632.00,649
295,19397.00,34912.00,49321.00,649
296,17404.00,34585.00,49034.00,649
297,17476.00,32267.00,54399.00,649
298,21787.00,31682.00,73699.00,649
299,18935.00,31405.00,73630.00,649
300,24382.00,43541.00,53716.00,649
301,18432.00,37755.00,52899.00,649
302,18476.00,32602.00,54247.00,649
303,18197.00,34358.00,56287.00,649
304,19198.00,32864.00,63084.00,649
305,17467.00,36447.00,50615.00,649
306,18328.00,40529.00,50499.00,649
307,17570.00,31832.00,54492.00,649
308,65232.00,49650.00,89356.00,649
309,19743.00,34394.00,48855.00,649
310,16886.00,35762.00,56543.00,649
311,16681.00,34892.00,49104.00,649
312,16535.00,31394.00,51593.00,649
313,17738.00,31330.00,53031.00,649
314,16922.00,31011.00,47598.00,649
315,16278.00,34413.00,48565.00,649
316,16547.00,34033.00,51599.00,649
317,40446.00,44719.00,57797.00,649
318,17433.00,33848.00,53363.00,649
319,24020.00,52299.00,85814.00,649
320,32121.00,126471.00,326987.00,649
321,44839.00,78016.00,83162.00,649
322,26133.00,48379.00,80919.00,649
323,25255.00,48976.00,89308.00,649
324,25226.00,53101.00,77196.00,649
325,28345.00,54991.00,72606.00,649
326,24028.00,98456.00,78926.00,649
327,61600.00,56988.00,107944.00,649
328,28259.00,60917.00,124337.00,649
329,29626.00,55336.00,85553.00,649
330,45893.00,64318.00,78437.00,649
331,26088.00,53308.00,72896.00,649
332,24747.00,44841.00,79042.00,649
333,26268.00,45929.00,78523.00,649
334,41743.00,53694.00,74637.00,649
335,24896.00,57238.00,74646.00,649
336,25977.00,56367.00,76211.00,649
337,25841.00,52758.00,79951.00,649
338,26570.00,77871.00,109322.00,649
339,27944.00,51014.00,75925.00,649
340,58039.00,60233.00,76054.00,649
341,25778.00,55441.00,85419.00,649
342,30475.00,50480.00,119234.00,649
343,29490.00,47864.00,77231.00,649
344,51142.00,48017.00,91831.00,649
345,23822.00,52942.00,74143.00,649
346,23640.00,54480.00,69628.00,649
347,23021.00,46772.00,72571.00,649
348,22447.00,47205.00,76010.00,649
349,26580.00,46472.00,100545.00,649
350,30506.00,58971.00,77705.00,649
351,25640.00,56453.00,73315.00,649
352,26684.00,47071.00,115518.00,649
353,25913.00,46551.00,74922.00,649
354,27821.00,46738.00,68555.00,649
355,47772.00,65880.00,95776.00,649
356,21203.00,50651.00,69047.00,649
357,47657.00,47618.00,67364.00,649
358,19715.00,124545.00,80264.00,649
359,52628.00,72113.00,64397.00,649
360,19869.00,46667.00,61966.00,649
361,20372.00,86543.00,78016.00,649
362,22526.00,44227.00,75064.00,649
363,22726.00,47209.00,69264.00,649
364,19870.00,42290.00,64714.00,649
365,19746.00,54464.00,65611.00,649
366,20711.00,64889.00,69698.00,649
367,38805.00,59734.00,76879.00,649
368,21818.00,43824.00,70292.00,649
369,21727.00,45187.00,65134.00,649
370,21015.00,51120.00,500340.00,649
371,24440.00,177349.00,73617.00,649
372,17645.00,35882.00,47808.00,649
373,12243.00,29859.00,46021.00,649
374,12360.00,78624.00,56557.00,649
375,12404.00,35425.00,42209.00,649
376,12031.00,32650.00,41959.00,649
377,11759.00,31297.00,45484.00,649
378,11938.00,29567.00,44268.00,649
379,12244.00,29397.00,41748.00,649
380,11146.00,32323.00,42561.00,649
381,11588.00,33837.00,44340.00,649
382,17719.00,30454.00,45885.00,649
383,12179.00,29749.00,44577.00,649
384,12334.00,30866.00,154821.00,649
385,31646.00,58057.00,59883.00,649
386,14019.00,37608.00,45117.00,649
387,12340.00,31217.00,47512.00,649
388,11959.00,31370.00,70181.00,649
389,20209.00,37490.00,76855.00,649
390,12673.00,35443.00,43841.00,649
391,11952.00,34871.00,43018.00,649
392,11806.00,32208.00,46764.00,649
393,11696.00,31337.00,46278.00,649
394,12727.00,30436.00,59897.00,649
395,11577.00,33887.00,41992.00,649
396,11146.00,43911.00,57064.00,649
397,24929.00,32601.00,56238.00,649
398,26824.00,50280.00,66451.00,649
399,13427.00,37554.00,42680.00,649
400,11017.00,37982.00,43023.00,649
401,21284.00,68742.00,75982.00,649
402,26011.00,44331.00,101344.00,649
403,22144.00,52460.00,73757.00,649
404,17660.00,49657.00,117488.00,649
405,19322.00,61990.00,65088.00,649
406,23301.00,60158.00,72713.00,649
407,20140.00,53062.00,67830.00,649
408,16794.00,31836.00,79595.00,649
409,11284.00,30494.00,42349.00,649
410,10232.00,33531.00,40122.00,649
411,9659.00,34951.00,42873.00,649
412,9453.00,31186.00,50511.00,649
413,12533.00,35168.00,46170.00,649
414,11689.00,49792.00,51843.00,649
415,24385.00,39963.00,42575.00,649
416,9693.00,36122.00,40385.00,649
417,9801.00,31805.00,44630.00,649
418,9670.00,32193.00,45817.00,649
419,22428.00,40976.00,43950.00,649
420,9826.00,35808.00,44523.00,649
421,9838.00,49424.00,148508.00,649
422,32813.00,36765.00,49907.00,649
423,9472.00,35017.00,46318.00,649
424,9280.00,33711.00,40769.00,649
425,9349.00,46033.00,74228.00,649
426,14514.00,42904.00,43093.00,649
427,9184.00,32142.00,51352.00,649
428,10087.00,31901.00,43519.00,649
429,9265.00,32210.00,45788.00,649
430,13219.00,33130.00,52054.00,649
431,8908.00,37131.00,38497.00,649
432,8517.00,95004.00,60944.00,649
433,9411.00,31302.00,42960.00,649
434,8811.00,41688.00,41879.00,649
435,14926.00,43187.00,41978.00,649
436,8567.00,32089.00,37230.00,649
437,8286.00,29047.00,39947.00,649
438,8625.00,29478.00,40371.00,649
439,8412.00,28053.00,36080.00,649
440,8377.00,32072.00,36316.00,649
441,8471.00,38907.00,69914.00,649
442,13185.00,37393.00,49009.00,649
443,8906.00,32262.00,44406.00,649
444,9058.00,30524.00,38543.00,649
445,8582.00,35888.00,40401.00,649
446,8958.00,35037.00,38480.00,649
447,8757.00,29814.00,41656.00,649
448,8823.00,29206.00,73208.00,649
449,10136.00,32220.00,42469.00,649
450,8827.00,34424.00,38524.00,649
451,8620.00,32308.00,40113.00,649
452,9382.00,44195.00,49996.00,649
453,11849.00,29448.00,51653.00,649
454,9712.00,31159.00,38212.00,649
455,9065.00,34122.00,38513.00,649
456,8597.00,34921.00,38471.00,649
457,8688.00,29248.00,41734.00,649
458,9355.00,31161.00,41559.00,649
459,10905.00,29561.00,38645.00,649
460,8914.00,32757.00,37601.00,649
461,9598.00,32419.00,72597.00,649
462,9521.00,29365.00,44762.00,649
463,9106.00,31011.00,75661.00,649
464,13475.00,39328.00,38335.00,649
465,8483.00,34439.00,38375.00,649
466,8700.00,32390.00,38332.00,649
467,8616.00,28835.00,40681.00,649
468,8463.00,31006.00,64215.00,649
469,12580.00,39896.00,38905.00,649
470,9962.00,36581.00,38002.00,649
471,8655.00,41619.00,35885.00,649
472,8476.00,27660.00,38464.00,649
473,8499.00,26954.00,39781.00,649
474,13646.00,69565.00,42000.00,649
475,8980.00,65189.00,51277.00,649
476,9079.00,65720.00,57568.00,649
477,10817.00,30958.00,47190.00,649
478,9876.00,29787.00,43039.00,649
479,9228.00,51195.00,38232.00,649
480,8692.00,32252.00,37240.00,649
481,8651.00,34371.00,36895.00,649
482,8771.00,28335.00,45117.00,649
483,9317.00,29902.00,59415.00,649
484,9868.00,28724.00,86670.00,649
485,15934.00,39948.00,59682.00,649
486,9670.00,32174.00,36167.00,649
487,9488.00,27077.00,51904.00,649
488,9238.00,30079.00,38266.00,649
489,8644.00,26710.00,34269.00,649
490,8447.00,30005.00,35233.00,649
491,8553.00,30742.00,52347.00,649
492,9163.00,26712.00,39655.00,649
493,8522.00,26439.00,38543.00,649
494,8635.00,26478.00,34015.00,649
495,8186.00,32249.00,36241.00,649
496,8396.00,29853.00,34743.00,649
497,8307.00,25953.00,39308.00,649
498,8475.00,35778.00,41162.00,649
499,8929.00,26523.00,36301.00,649
500,8471.00,29181.00,34185.00,649
501,8458.00,29006.00,34289.00,649
502,8669.00,27094.00,38762.00,649
503,8802.00,26390.00,46439.00,649
504,15673.00,31977.00,35415.00,649
505,8610.00,30244.00,36225.00,649
506,8795.00,29562.00,34319.00,649
507,8301.00,25173.00,37808.00,649
508,8370.00,25333.00,79698.00,649
509,25327.00,53498.00,67505.00,649
510,15795.00,52070.00,57235.00,649
511,13178.00,46354.00,53482.00,649
512,17029.00,42712.00,257998.00,649
513,32390.00,80555.00,95674.00,649
514,17576.00,45799.00,58709.00,649
515,13473.00,48029.00,56288.00,649
516,14112.00,86192.00,74245.00,649
517,16229.00,40326.00,66916.00,649
518,17966.00,85244.00,70523.00,649
519,15446.00,66776.00,74153.00,649
520,16471.00,55902.00,80485.00,649
521,13968.00,38148.00,43493.00,649
522,8489.00,54101.00,39766.00,649
523,8641.00,26960.00,48986.00,649
524,14056.00,28711.00,40813.00,649
525,8860.00,28591.00,34407.00,649
526,8515.00,27552.00,32506.00,649
527,8339.00,29164.00,36024.00,649
528,8635.00,24067.00,36324.00,649
529,8719.00,23714.00,32714.00,649
530,9821.00,27387.00,32945.00,649
531,8487.00,26838.00,32010.00,649
532,8520.00,25171.00,36229.00,649
533,10070.00,24377.00,36609.00,649
534,8608.00,25173.00,33156.00,649
535,8562.00,27753.00,34713.00,649
536,8501.00,36762.00,34322.00,649
537,8650.00,24016.00,38333.00,649
538,9023.00,25995.00,49716.00,649
539,9422.00,21237.00,33556.00,649
540,9294.00,24197.00,29182.00,649
541,8574.00,24739.00,28694.00,649
542,8601.00,19995.00,31172.00,649
543,8816.00,20070.00,31785.00,649
544,8869.00,19918.00,29346.00,649
545,8649.00,35133.00,36996.00,649
546,9027.00,25604.00,61161.00,649
547,13200.00,33926.00,47369.00,649
548,9418.00,21856.00,32709.00,649
549,8742.00,20412.00,28831.00,649
550,8420.00,23480.00,150112.00,649
551,14291.00,55389.00,59089.00,649
552,9888.00,37437.00,47671.00,649
553,9000.00,34574.00,53088.00,649
554,9949.00,53025.00,43292.00,649
555,8707.00,35191.00,43853.00,649
556,8803.00,51021.00,44511.00,649
557,9113.00,30642.00,46141.00,649
558,9030.00,30577.00,43249.00,649
559,8795.00,44256.00,61149.00,649
560,9341.00,63581.00,71935.00,649
561,11485.00,40122.00,41127.00,649
562,9014.00,30331.00,44481.00,649
563,8849.00,31417.00,45333.00,649
564,29425.00,51288.00,40306.00,649
565,8801.00,35831.00,96451.00,649
566,13184.00,49941.00,40321.00,649
567,8487.00,29095.00,43099.00,649
568,8616.00,28749.00,41253.00,649
569,8468.00,28117.00,56231.00,649
570,12171.00,37424.00,41572.00,649
571,8776.00,34266.00,37199.00,649
572,8675.00,28443.00,41210.00,649
573,8727.00,31897.00,40813.00,649
574,8500.00,28316.00,35411.00,649
575,8423.00,32144.00,36907.00,649
576,8380.00,34298.00,79887.00,649
577,10255.00,31192.00,41878.00,649
578,9786.00,28857.00,39722.00,649
579,8280.00,28540.00,36399.00,649
580,8145.00,31159.00,35719.00,649
581,8044.00,30998.00,35914.00,649
582,8059.00,26759.00,39965.00,649
583,8315.00,27731.00,40369.00,649
584,8259.00,28228.00,35714.00,649
585,8191.00,67658.00,29751.00,649
586,8078.00,21007.00,28878.00,649
587,8113.00,16832.00,27851.00,649
588,8298.00,17000.00,37904.00,649
589,8447.00,16927.00,63999.00,649
590,11380.00,42512.00,29213.00,649
591,8735.00,22335.00,26570.00,649
592,8503.00,22676.00,29387.00,649
593,8381.00,17560.00,28525.00,649
594,8269.00,18443.00,25875.00,649
595,8230.00,20167.00,26233.00,649
596,8149.00,20101.00,37845.00,649
597,14777.00,29586.00,32771.00,649
598,8616.00,24886.00,29119.00,649
599,9316.00,17757.00,27155.00,649
600,8466.00,33570.00,33829.00,649
601,18883.00,42295.00,42402.00,649
602,19532.00,52217.00,73679.00,649
603,15602.00,29923.00,33850.00,649
604,8646.00,17566.00,34806.00,649
